10th_percent,12th_percent,jee_rank,gender,cgpa,college_tier,college_name,branch,experience,experience_field,num_projects,expertise_level,num_internships,soft_skill_rating,aptitude_rating,dsa_level,num_hackathons,competitive_coding_solved,num_repos,github_activities,linkedin_posts,num_certifications,domain,referral,salary
84.3,84.5,39976,Male,9.72,Tier 2 - Mid Colleges,NSUT Delhi,CSE,0,0.0,1,1,2,4,3,1,2,94,5,11,1,1,Data Science,Yes,1278943
81.8,72.8,31233,Other,8.37,Tier 2 - Mid Colleges,NIT Rourkela,ME,1,0.8,7,2,2,3,2,1,2,121,5,8,4,2,Thermal Engineering,No,1133710
82.9,88.3,17795,Male,7.78,Tier 2 - Mid Colleges,Thapar University,CSE,3,2.1,1,2,3,4,4,2,2,256,6,17,5,3,Cyber Security,No,1331225
86.7,77.2,910,Other,8.27,Tier 1 - Top IIT,IIT Bombay,CSE,2,1.2,2,1,2,3,3,3,0,204,6,9,4,0,Machine Learning,No,3559050
82.5,69.1,24824,Female,8.55,Tier 2 - Mid Colleges,NIT Rourkela,EE,1,0.8,7,2,1,4,3,3,0,131,6,13,1,3,Smart Grids,No,1397925
88.9,88.1,6838,Male,7.84,Tier 1 - Other IIT/Top NIT,IIT Guwahati,ECE,3,2.5,4,3,5,2,4,2,3,257,10,14,3,4,VLSI Design,No,2375858
87.6,83.6,40865,Male,11.58,Tier 3 - Private/State,Manipal Institute,ECE,5,4.8,3,5,4,3,2,3,5,351,9,19,2,2,VLSI Design,No,946637
94.2,74.9,4481,Female,7.48,Tier 1 - Other IIT/Top NIT,IIIT Hyderabad,CSE,1,0.7,4,1,1,4,3,3,0,145,4,12,5,3,Machine Learning,Yes,2350270
81.9,78.5,30859,Female,8.11,Tier 2 - Mid Colleges,NIT Calicut,ME,1,0.5,5,1,4,4,4,3,4,161,4,16,5,5,Thermal Engineering,No,1433019
85.0,65.4,9518,Male,9.92,Tier 1 - Other IIT/Top NIT,NIT Warangal,EE,2,1.9,4,2,0,3,4,3,3,195,4,12,1,5,Smart Grids,No,2377082
87.3,80.5,14590,Female,9.29,Tier 2 - Mid Colleges,BIT Mesra,ECE,1,0.7,2,1,2,3,2,2,2,142,7,14,4,3,IoT Development,No,1258625
83.6,82.1,20164,Other,7.62,Tier 2 - Mid Colleges,Thapar University,EE,4,0.6,6,1,5,3,4,3,3,275,3,12,4,7,Renewable Energy,No,1425102
89.0,78.0,21640,Female,7.17,Tier 2 - Mid Colleges,NIT Rourkela,CSE,2,1.6,3,2,0,4,2,2,0,194,2,12,3,2,Full Stack,No,1276115
83.9,84.3,19248,Female,9.11,Tier 2 - Mid Colleges,BIT Mesra,Other,0,0.0,1,1,1,2,1,4,2,92,3,8,1,3,Core Engineering,No,1389887
80.7,90.7,24169,Male,8.93,Tier 2 - Mid Colleges,NIT Rourkela,EE,1,0.5,1,1,2,2,3,2,1,136,5,8,4,1,Renewable Energy,No,1185694
85.2,81.8,3124,Other,7.78,Tier 1 - Other IIT/Top NIT,IIT Guwahati,CSE,1,1.0,2,1,1,2,3,3,0,162,6,13,2,4,Data Science,No,2211044
90.2,64.5,42284,Other,8.79,Tier 3 - Private/State,Jadavpur University,ME,3,1.2,7,2,3,1,2,3,4,265,6,17,2,4,Thermal Engineering,No,883202
82.4,81.2,6185,Female,9.17,Tier 1 - Other IIT/Top NIT,IIT Roorkee,EE,1,1.0,3,1,5,5,4,3,1,172,4,10,3,2,Power Systems,No,2645092
78.4,85.6,21851,Other,8.37,Tier 2 - Mid Colleges,IIIT Bangalore,Other,1,0.8,3,1,1,3,3,2,1,159,5,10,1,2,Research,No,1297407
93.8,86.5,5809,Male,9.52,Tier 1 - Other IIT/Top NIT,NIT Trichy,EE,0,0.0,3,1,0,2,3,3,1,85,1,7,1,5,Power Systems,No,2327958
78.0,69.1,9459,Female,8.98,Tier 1 - Other IIT/Top NIT,NIT Warangal,ME,2,1.8,1,2,4,2,4,3,1,202,3,13,3,1,Automotive,Yes,2343690
84.2,85.6,145015,Other,8.81,Tier 4 - Other,Local State College,Other,0,0.0,3,1,0,3,4,3,0,96,2,8,0,2,Research,No,585616
85.9,77.7,9472,Other,10.08,Tier 1 - Other IIT/Top NIT,IIT Guwahati,EE,1,0.5,2,1,1,4,3,3,2,171,10,7,1,2,Renewable Energy,No,2398391
78.0,83.5,49901,Other,7.67,Tier 3 - Private/State,KIIT Bhubaneswar,ECE,1,0.8,3,1,2,3,3,1,1,166,8,9,1,6,VLSI Design,Yes,748104
89.9,78.5,29174,Other,8.46,Tier 2 - Mid Colleges,DTU Delhi,CSE,1,0.9,2,1,3,3,3,1,1,137,5,11,1,1,Cyber Security,No,1177731
76.3,71.2,80848,Other,9.21,Tier 3 - Private/State,SRM Chennai,CSE,1,0.4,6,1,0,4,3,3,1,152,3,15,2,8,Full Stack,No,929892
85.1,80.6,22116,Male,9.1,Tier 2 - Mid Colleges,DTU Delhi,ME,2,0.7,4,1,4,3,2,2,2,173,1,10,3,2,Robotics,No,1313233
86.2,76.1,17795,Other,7.48,Tier 2 - Mid Colleges,NSUT Delhi,ME,1,0.5,4,1,2,3,2,3,1,139,5,17,2,3,Automotive,Yes,1384218
77.0,84.0,15073,Other,7.99,Tier 2 - Mid Colleges,NIT Calicut,ECE,1,0.9,3,1,2,5,3,2,0,149,2,9,0,2,Embedded Systems,No,1295562
94.0,84.5,9152,Other,8.04,Tier 1 - Other IIT/Top NIT,IIT Guwahati,ECE,0,0.0,1,1,1,3,3,3,2,101,6,7,3,5,VLSI Design,No,2436600
79.4,83.9,250000,Female,8.1,Tier 4 - Other,Regional Institute,ME,0,0.0,3,1,3,3,4,3,0,113,7,6,3,3,Thermal Engineering,No,638838
79.2,82.2,721,Female,8.8,Tier 1 - Top IIT,IIT Madras,CSE,1,0.5,3,1,0,4,3,3,1,137,2,13,5,3,Data Science,Yes,3517109
84.3,72.8,9652,Other,8.35,Tier 1 - Other IIT/Top NIT,IIT Roorkee,CSE,1,0.3,7,1,1,3,3,4,1,157,10,17,2,2,Data Science,No,2566231
84.7,82.3,8909,Other,8.76,Tier 1 - Other IIT/Top NIT,NIT Surathkal,ECE,3,2.0,1,2,5,2,4,1,4,242,6,18,1,3,VLSI Design,No,2134122
88.8,82.0,2467,Male,8.58,Tier 1 - Top IIT,IIT Bombay,ECE,0,0.0,2,1,0,2,3,3,2,94,3,7,1,2,IoT Development,No,3278205
87.4,81.0,42744,Other,9.46,Tier 3 - Private/State,VIT Vellore,ME,1,0.7,4,1,3,4,2,3,2,156,2,12,2,3,Thermal Engineering,No,953691
86.5,76.3,157462,Male,7.2,Tier 4 - Other,Community College,ME,0,0.0,2,1,0,3,3,3,0,81,9,12,0,0,Automotive,No,606542
80.4,80.6,7296,Male,9.77,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ECE,2,1.7,6,2,1,2,3,2,4,211,5,11,5,3,Embedded Systems,No,2046362
84.1,74.7,89282,Male,8.93,Tier 3 - Private/State,VIT Vellore,Other,2,1.7,3,2,5,3,3,3,2,173,5,13,1,2,Core Engineering,No,956140
83.2,75.1,14698,Male,8.74,Tier 2 - Mid Colleges,NSUT Delhi,ME,0,0.0,3,1,2,4,3,2,0,114,2,9,0,1,Thermal Engineering,No,1348202
