10th_percent,12th_percent,jee_rank,gender,experience,experience_field,engineering_field,college_tier,num_projects,expertise_level,num_internships,soft_skill_rating,aptitude_rating,dsa_level,num_hackathons,competitive_coding_solved,num_repos,github_activities,linkedin_posts,num_certifications,cgpa,domain,referral,salary
88.0,82.6,3710,Male,1,0.6,Electrical,Top IIT,1,1,1,3,1,4,2,59,5,11,3,1,4.52,Machine Learning,Yes,2850253
83.1,86.0,4277,Male,0,0.0,Electrical,Top IIT,1,1,2,4,4,4,0,103,5,8,4,4,1.17,Full Stack,No,2877989
94.6,84.5,2691,Male,4,0.7,Computer Science,Top IIT,4,1,3,3,1,3,1,101,7,8,0,2,5.55,Full Stack,Yes,5979221
78.2,65.6,1708,Female,1,0.0,Computer Science,Top IIT,2,1,1,3,4,2,1,126,5,13,2,3,8.52,Android Development,Yes,4547504
80.5,72.2,1265,Male,2,1.1,Electrical,Top IIT,0,1,2,3,4,4,3,110,2,9,6,2,3.64,Android Development,No,3526119
97.6,86.3,7082,Female,2,1.3,Computer Science,Top IIT,4,3,0,3,4,5,2,37,3,10,2,0,6.11,Other,Yes,4444085
67.0,67.5,710,Female,3,2.2,Mechanical,Top IIT,3,4,0,3,3,5,0,5,5,9,3,0,3.46,Full Stack,No,2762516
81.6,74.1,14214,Female,1,0.3,Computer Science,Top IIT,0,1,5,4,3,1,4,46,7,9,2,4,6.01,Android Development,No,5379447
90.5,89.3,2498,Male,1,0.7,Computer Science,Top IIT,0,2,0,4,2,2,5,96,4,10,1,4,7.99,Machine Learning,No,4339259
90.4,99.4,13999,Male,0,0.0,Civil,Mid IIT,3,1,1,2,3,2,4,85,11,6,6,0,5.43,Other,No,1100113
79.2,78.0,57347,Female,2,1.1,Computer Science,Top IIT,3,4,1,4,2,4,3,76,7,8,1,0,8.82,Android Development,Yes,4917880
92.2,86.6,51930,Male,0,0.0,Mechanical,Mid IIT,1,1,2,4,3,2,0,97,6,7,3,2,7.06,Machine Learning,Yes,1120364
91.7,80.3,3911,Female,0,0.0,Computer Science,Top IIT,2,1,1,4,3,2,1,55,5,7,5,0,4.06,Machine Learning,No,3003982
73.9,68.7,16441,Male,0,0.0,Computer Science,Mid IIT,2,1,2,4,3,3,2,75,3,13,5,1,8.3,Full Stack,No,2285814
80.0,80.6,21955,Male,2,0.6,Computer Science,Top IIT,1,2,4,3,5,3,1,115,5,15,3,2,4.48,Android Development,Yes,5674489
80.2,82.6,5254,Female,1,0.3,Civil,Top IIT,1,2,1,4,4,2,2,44,3,9,3,1,4.27,Other,Yes,2138546
98.3,100.0,202,Male,0,0.0,Electrical,Top IIT,1,1,2,3,3,5,0,95,2,7,0,0,3.36,Android Development,No,2533851
94.4,83.4,7268,Female,1,0.8,Computer Science,Mid IIT,1,1,2,2,5,1,2,139,6,8,2,3,2.04,Machine Learning,No,2416958
75.7,70.7,6237,Male,1,0.3,Civil,Top IIT,1,2,4,2,3,3,2,72,5,12,2,1,8.26,Machine Learning,Yes,2561621
87.1,89.1,5771,Female,0,0.0,Mechanical,Top IIT,0,1,4,4,2,4,0,87,3,10,4,0,3.6,Other,No,2607301
96.2,97.1,979,Female,0,0.0,Mechanical,Top IIT,0,1,0,3,4,5,3,50,7,16,3,0,7.45,Full Stack,Yes,2082269
84.8,75.4,5988,Female,1,0.9,Electrical,Top IIT,5,1,2,2,3,3,3,74,12,13,2,1,8.08,Android Development,Yes,3182058
77.5,76.2,6629,Male,1,0.9,Mechanical,Top IIT,0,3,2,4,3,3,2,68,6,10,4,1,5.01,Android Development,Yes,2959625
67.2,64.0,1094,Male,2,0.4,Civil,Top IIT,5,3,0,4,4,2,0,83,4,11,3,0,9.36,Android Development,Yes,2515901
86.0,83.9,424,Male,0,0.0,Mechanical,Top IIT,0,1,0,3,5,4,2,88,3,10,5,3,2.27,Full Stack,No,2372880
82.4,80.0,2689,Male,0,0.0,Electronics,Top IIT,2,1,2,2,5,3,3,133,6,6,4,2,9.36,Android Development,Yes,2898115
94.9,79.5,2940,Male,1,0.2,Computer Science,Top IIT,0,2,5,4,3,2,0,104,1,8,0,0,5.35,Other,Yes,5376622
72.2,65.4,3909,Male,3,1.9,Computer Science,Mid IIT,2,3,3,3,5,2,2,108,11,13,3,1,8.7,Other,Yes,2426988
91.8,77.9,682,Female,1,0.8,Electronics,Top IIT,3,3,2,4,3,4,0,37,6,8,1,1,6.45,Machine Learning,No,3708538
84.1,81.0,8951,Female,1,0.9,Computer Science,Top IIT,1,1,3,3,4,2,1,153,4,11,2,3,2.33,Other,Yes,4934021
90.9,88.4,759,Male,2,0.7,Computer Science,Top IIT,4,1,2,3,3,4,1,135,6,10,2,1,3.88,Machine Learning,Yes,5393456
95.7,76.1,13407,Male,2,1.9,Computer Science,Top IIT,2,3,5,3,3,2,3,138,7,6,1,0,4.74,Full Stack,No,5527831
83.9,79.0,29403,Male,1,0.1,Computer Science,Top IIT,2,1,1,3,4,3,3,4,4,9,2,1,5.6,Other,Yes,4006646
88.2,84.1,3993,Female,0,0.0,Computer Science,Top IIT,1,3,5,4,3,5,4,62,5,5,1,0,4.58,Other,No,4203146
64.1,72.0,9580,Male,1,1.0,Electrical,Top IIT,4,3,1,4,4,3,1,38,4,14,5,3,3.15,Android Development,No,3179022
69.0,74.6,9687,Male,2,0.3,Electrical,Top IIT,1,1,3,5,3,3,2,41,3,13,4,0,7.24,Full Stack,Yes,4047651
64.2,60.0,105856,Female,1,0.6,Civil,NIT,3,2,1,3,3,3,3,52,3,11,6,2,7.61,Full Stack,Yes,453328
71.8,72.4,1207,Female,0,0.0,Computer Science,Top IIT,1,1,3,3,4,4,1,117,2,7,3,1,7.78,Machine Learning,No,4410503
95.1,82.8,9705,Male,2,1.2,Computer Science,Top IIT,1,2,2,3,3,3,2,103,3,12,3,2,8.59,Full Stack,Yes,5217696
85.0,85.1,14182,Male,1,0.7,Electronics,Top IIT,4,2,2,5,4,3,2,125,7,7,3,1,5.42,Machine Learning,Yes,3652066
86.2,76.9,10054,Female,2,0.6,Computer Science,Top IIT,2,2,2,2,4,4,0,69,7,6,2,0,3.87,Other,Yes,4721705
69.3,70.8,1147,Male,2,0.9,Electronics,Top IIT,3,3,1,3,3,3,2,95,6,14,3,0,2.32,Android Development,No,4140027
93.0,83.6,5132,Female,2,1.8,Computer Science,Top IIT,6,4,4,3,5,4,1,91,7,7,1,0,6.85,Android Development,Yes,5284714
77.7,76.4,1993,Male,0,0.0,Electrical,Mid IIT,2,1,2,3,4,4,1,66,3,5,2,2,4.92,Full Stack,Yes,1270713
82.0,83.3,1245,Male,0,0.0,Computer Science,Top IIT,0,1,2,4,3,4,4,54,8,8,4,0,3.72,Full Stack,Yes,4683841
78.1,75.1,6878,Male,1,0.0,Electrical,Top IIT,2,1,0,3,3,5,2,77,8,10,5,1,8.15,Machine Learning,No,2704090
73.1,77.1,1123,Male,0,0.0,Mechanical,Top IIT,1,1,4,3,4,2,2,106,7,13,6,3,7.49,Full Stack,Yes,2570010
81.4,86.3,2597,Female,0,0.0,Electronics,Top IIT,1,1,0,4,4,4,1,104,6,9,1,0,6.62,Machine Learning,No,3080390
70.6,64.1,13298,Female,0,0.0,Computer Science,Top IIT,0,1,4,1,4,5,0,117,7,13,2,1,2.67,Android Development,No,4359677
79.5,78.4,6200,Male,1,0.4,Computer Science,Top IIT,1,1,3,5,4,2,5,90,4,9,2,0,3.32,Full Stack,Yes,4594231
81.6,75.5,1730,Female,1,0.2,Computer Science,Top IIT,1,2,1,4,3,4,0,67,2,6,4,3,8.14,Android Development,Yes,4243344
97.4,97.4,11074,Female,1,0.1,Computer Science,Top IIT,0,1,2,2,4,3,0,43,5,13,3,2,4.92,Other,No,4590009
70.0,65.5,67858,Male,0,0.0,Electrical,Mid IIT,0,1,1,3,4,1,2,94,10,10,3,2,6.83,Android Development,Yes,1136384
87.8,78.7,750,Male,2,0.7,Computer Science,Mid IIT,4,3,2,3,3,4,0,41,1,11,4,5,4.88,Full Stack,Yes,2726923
78.2,80.6,581,Male,0,0.0,Electrical,Top IIT,0,1,1,4,1,2,1,49,0,7,4,2,7.12,Machine Learning,No,2509075
72.3,74.6,809,Female,0,0.0,Electronics,Top IIT,1,3,5,5,4,3,4,41,9,12,0,1,3.26,Full Stack,Yes,3891008
80.2,79.1,370,Female,1,0.2,Computer Science,Top IIT,1,2,3,4,5,3,1,63,5,13,3,3,2.68,Android Development,Yes,4576375
95.1,82.8,669,Female,0,0.0,Computer Science,Top IIT,1,2,2,2,3,3,3,104,7,7,3,1,3.48,Other,No,4366602
95.7,88.1,40114,Male,1,0.1,Computer Science,Top IIT,0,2,2,3,3,2,0,56,8,16,4,0,6.92,Machine Learning,Yes,4251639
67.3,79.5,1958,Male,2,0.6,Computer Science,Top IIT,1,2,0,2,4,3,0,71,3,4,4,1,3.89,Full Stack,No,5062612
73.1,64.8,915,Male,3,1.3,Civil,Top IIT,1,2,1,3,4,3,1,145,1,15,1,0,7.82,Machine Learning,Yes,2238251
90.7,68.2,4934,Female,2,1.2,Civil,Top IIT,1,3,1,3,3,3,2,171,3,12,6,0,3.52,Other,Yes,2787944
89.8,83.8,24721,Male,2,0.7,Civil,Mid IIT,1,1,3,2,4,2,1,105,7,6,3,5,3.98,Machine Learning,No,1597062
70.6,67.4,1653,Female,2,1.4,Civil,Top IIT,3,4,1,3,4,1,4,113,4,7,3,1,7.04,Other,Yes,2324295
83.5,79.5,2685,Male,0,0.0,Computer Science,Top IIT,0,1,2,5,5,4,0,92,10,16,6,1,5.37,Full Stack,No,4621711
91.8,90.2,53341,Female,1,0.8,Computer Science,Top IIT,5,1,2,2,4,3,2,111,2,14,3,1,5.86,Machine Learning,Yes,4430087
85.2,69.8,2820,Male,1,0.2,Computer Science,Top IIT,0,1,1,2,4,2,1,81,5,6,2,1,4.09,Android Development,Yes,4044845
90.7,92.5,37920,Female,0,0.0,Computer Science,Mid IIT,1,1,2,5,3,3,1,71,6,12,2,0,6.97,Other,No,2230487
91.8,91.3,1520,Male,0,0.0,Civil,Mid IIT,1,1,2,4,2,2,0,105,2,10,3,3,6.57,Android Development,Yes,1083453
98.7,91.7,2480,Female,1,0.4,Computer Science,Top IIT,2,2,0,3,4,4,2,139,3,7,0,3,6.27,Other,No,3779900
71.5,73.8,3910,Female,0,0.0,Computer Science,Top IIT,0,1,3,4,5,3,6,52,7,7,2,2,6.74,Full Stack,No,3709797
71.7,75.2,674,Male,1,0.8,Computer Science,Mid IIT,0,1,2,4,3,3,0,150,6,19,1,0,2.6,Other,Yes,1930781
87.9,73.5,164,Male,1,0.8,Computer Science,Top IIT,2,2,0,3,4,3,1,13,5,9,3,1,3.68,Full Stack,No,4411760
77.6,70.1,7193,Male,0,0.0,Electrical,Top IIT,0,1,2,5,4,3,3,101,8,9,4,1,4.65,Android Development,No,3189421
85.5,72.9,9768,Female,0,0.0,Computer Science,Top IIT,1,1,2,3,3,3,0,111,2,6,3,0,8.16,Android Development,Yes,4112387
94.4,96.5,13576,Female,0,0.0,Electrical,Top IIT,2,1,3,2,3,4,0,57,5,11,2,1,8.78,Machine Learning,No,3451086
75.9,78.6,1242,Male,3,2.2,Computer Science,Top IIT,3,4,3,4,2,5,2,91,5,13,4,1,4.82,Machine Learning,No,5628606
96.3,96.7,10325,Female,1,0.1,Mechanical,Top IIT,2,1,2,3,4,3,0,80,2,9,2,1,4.38,Other,Yes,2178361
79.9,84.3,4277,Male,0,0.0,Electrical,Top IIT,0,1,3,3,4,4,1,138,4,9,2,2,6.08,Android Development,No,3070729
76.4,73.5,6834,Male,4,1.3,Electrical,Top IIT,2,1,0,4,3,3,5,115,1,8,3,1,5.91,Machine Learning,Yes,4649465
76.0,62.6,7436,Male,1,0.5,Computer Science,Top IIT,0,3,3,3,4,2,3,134,4,4,4,1,4.24,Other,Yes,4408047
79.8,74.9,1544,Male,0,0.0,Electrical,Top IIT,0,1,3,3,4,4,0,106,3,9,3,1,4.1,Other,No,3129655
74.1,71.1,2186,Male,0,0.0,Electrical,Top IIT,1,1,3,3,3,3,3,93,9,11,1,2,4.04,Full Stack,Yes,2689892
88.0,84.3,37604,Male,2,0.1,Computer Science,Mid IIT,0,3,0,4,2,3,3,85,2,10,4,1,5.19,Other,Yes,2260931
93.1,92.3,2585,Male,1,0.9,Mechanical,Top IIT,0,1,5,2,2,1,3,72,6,9,3,2,8.39,Other,No,2559262
71.2,80.2,20860,Female,1,0.6,Mechanical,Mid IIT,3,1,0,3,2,3,1,161,3,6,2,1,5.35,Other,No,1196156
77.9,70.7,2000,Female,0,0.0,Mechanical,Mid IIT,1,1,0,4,4,2,0,58,3,14,6,1,2.89,Machine Learning,No,1346113
86.0,83.7,11287,Female,2,1.3,Mechanical,Top IIT,2,3,2,5,4,2,1,50,9,4,1,3,3.82,Android Development,No,2532732
93.7,88.4,7396,Female,3,0.9,Computer Science,Top IIT,1,3,3,4,4,3,3,94,8,12,3,1,5.72,Android Development,No,6317715
94.8,81.1,187,Male,1,0.1,Computer Science,Top IIT,1,2,0,4,5,1,2,27,6,9,1,0,3.38,Machine Learning,No,4384235
93.0,98.9,12951,Male,0,0.0,Computer Science,Top IIT,1,1,2,3,4,5,2,74,8,12,0,1,6.16,Other,No,3909870
94.0,89.0,1383,Female,0,0.0,Computer Science,Top IIT,1,1,1,4,3,2,3,83,2,15,2,1,7.78,Other,No,4511163
88.9,84.1,8058,Male,0,0.0,Civil,Mid IIT,2,1,3,4,3,3,0,88,3,11,3,0,8.04,Other,No,1365924
73.2,76.5,3169,Female,1,0.1,Computer Science,Top IIT,0,1,1,3,3,3,2,75,6,15,5,1,8.36,Other,No,4125773
90.0,82.2,17680,Male,1,0.4,Mechanical,Top IIT,5,1,2,3,3,4,1,93,4,17,4,1,6.35,Android Development,No,2648105
91.5,81.9,682,Female,1,0.9,Computer Science,Top IIT,0,3,2,3,3,3,1,144,2,12,5,1,9.13,Other,Yes,4354229
76.2,83.1,35197,Male,0,0.0,Electronics,Mid IIT,0,1,2,4,5,2,1,21,5,10,1,2,6.64,Full Stack,No,1569478
88.7,86.2,20192,Male,0,0.0,Computer Science,Top IIT,0,1,3,3,3,2,6,72,7,11,3,1,9.35,Other,Yes,4457782
79.1,73.4,1956,Male,1,0.8,Computer Science,Top IIT,2,2,2,5,3,1,2,79,3,5,3,4,6.62,Other,No,3926985
68.8,63.5,3864,Female,1,0.8,Computer Science,Top IIT,2,2,2,3,2,3,1,57,7,10,2,2,6.85,Other,No,4691656
77.1,75.0,2005,Female,1,0.2,Computer Science,Top IIT,2,1,2,4,3,2,0,112,3,16,4,2,6.08,Full Stack,No,4966479
84.5,87.6,280,Male,2,1.9,Electronics,Top IIT,5,2,2,4,3,3,1,13,5,15,3,2,8.19,Android Development,Yes,4714874
96.8,100.0,2363,Male,0,0.0,Electrical,Top IIT,0,2,3,3,3,4,1,85,8,9,3,3,8.21,Machine Learning,Yes,3035525
95.8,90.5,1007,Male,2,1.4,Computer Science,Top IIT,1,1,1,5,4,4,0,81,5,7,2,1,7.5,Other,Yes,4108722
97.5,89.9,16434,Male,1,0.7,Mechanical,Top IIT,0,1,3,3,3,1,3,120,6,11,1,1,7.63,Android Development,No,2394763
84.9,83.4,6849,Male,1,0.0,Electrical,Top IIT,1,2,1,3,4,4,1,99,4,11,2,0,5.92,Machine Learning,No,3363600
88.4,83.4,17962,Male,4,2.6,Electronics,Top IIT,5,5,0,4,3,3,0,161,6,10,4,0,4.73,Other,No,4138070
94.6,92.3,739,Male,0,0.0,Computer Science,Mid IIT,3,1,2,4,4,4,0,65,3,13,3,3,5.69,Machine Learning,Yes,2248000
