10th_percent,12th_percent,jee_rank,gender,cgpa,college_tier,college_name,branch,experience,experience_field,num_projects,expertise_level,num_internships,soft_skill_rating,aptitude_rating,dsa_level,num_hackathons,competitive_coding_solved,num_repos,github_activities,linkedin_posts,num_certifications,domain,referral,salary
84.3,84.5,39976,Male,9.72,Tier 2 - Mid Colleges,NSUT Delhi,CSE,0,0,2,1,0,3,1,2,0,106,4,10,1,3,Data Science,No,2357420
82.0,86.6,68902,Other,8.73,Tier 3 - Private/State,VIT Vellore,ME,1,0,5,1,0,2,2,1,3,168,5,14,3,1,Thermal Engineering,No,1068645
90.5,78.8,3605,Male,8.17,Tier 1 - Other IIT/Top NIT,NIT Warangal,CSE,2,2,2,2,4,4,2,2,1,179,11,9,2,4,Cyber Security,No,3481403
87.3,78.8,12062,Other,8.67,Tier 2 - Mid Colleges,NIT Calicut,CSE,4,2,5,3,0,1,4,2,2,279,7,15,0,4,Machine Learning,No,2763084
84.2,77.3,46381,Female,7.79,Tier 3 - Private/State,VIT Vellore,ME,0,0,4,1,2,3,3,3,1,84,4,12,1,3,Thermal Engineering,No,1201168
81.2,72.1,33380,Male,9.12,Tier 2 - Mid Colleges,NIT Rourkela,EE,3,1,6,2,4,4,4,2,5,244,8,13,4,6,Power Systems,No,1983860
88.3,77.8,69203,Male,9.11,Tier 3 - Private/State,Manipal Institute,ECE,1,1,1,1,2,2,3,3,0,145,8,5,4,2,VLSI Design,No,1617625
89.7,88.9,10077,Female,8.8,Tier 2 - Mid Colleges,BIT Mesra,ECE,2,2,1,2,0,4,2,1,1,217,5,11,3,1,VLSI Design,Yes,2632655
88.3,91.1,25240,Female,7.51,Tier 2 - Mid Colleges,NIT Calicut,ME,3,3,2,3,1,3,3,3,2,241,10,16,5,0,Thermal Engineering,No,1989956
86.6,79.1,9590,Male,8.58,Tier 1 - Other IIT/Top NIT,NIT Warangal,EE,2,1,3,1,3,3,4,3,2,220,3,6,7,1,Smart Grids,Yes,3254136
80.0,79.9,21529,Female,8.27,Tier 2 - Mid Colleges,BIT Mesra,ECE,0,0,3,1,0,3,3,3,0,127,7,15,2,2,IoT Development,No,2022601
75.4,82.5,23510,Other,8.96,Tier 2 - Mid Colleges,Thapar University,EE,0,0,3,1,4,4,3,1,1,88,9,9,2,4,Renewable Energy,No,1655784
95.2,80.8,29460,Female,9.74,Tier 2 - Mid Colleges,NIT Rourkela,CSE,4,1,2,1,4,2,3,2,3,295,5,9,2,5,Full Stack,No,2246119
80.9,76.1,21179,Female,7.35,Tier 2 - Mid Colleges,BIT Mesra,Other,1,1,3,1,2,3,1,2,1,162,4,8,3,1,Core Engineering,No,1650955
84.8,72.6,17601,Male,7.98,Tier 2 - Mid Colleges,NIT Rourkela,EE,1,2,4,2,2,3,3,2,3,142,3,16,3,4,Renewable Energy,No,1751653
87.6,81.5,10392,Other,10.0,Tier 2 - Mid Colleges,IIIT Bangalore,CSE,1,0,2,1,1,4,2,5,1,154,2,9,3,1,Data Science,No,2789766
82.0,80.6,34384,Other,8.38,Tier 2 - Mid Colleges,BIT Mesra,EE,2,1,8,2,1,4,2,3,3,198,9,10,1,4,Smart Grids,No,1825131
91.4,76.9,31080,Female,8.16,Tier 2 - Mid Colleges,NIT Rourkela,ME,4,2,4,2,5,3,5,1,3,333,11,13,2,4,Robotics,No,1882057
93.3,78.2,14721,Other,7.3,Tier 2 - Mid Colleges,IIIT Bangalore,Other,0,0,4,1,0,2,3,2,1,104,3,15,1,1,Research,No,1684418
91.9,61.4,26633,Male,6.84,Tier 2 - Mid Colleges,DTU Delhi,ME,1,0,2,1,3,2,2,2,3,136,2,14,2,1,Robotics,No,1695346
80.3,68.3,10009,Female,9.91,Tier 2 - Mid Colleges,Thapar University,ME,3,2,8,3,3,2,2,3,1,252,4,18,4,1,Automotive,No,1899141
83.3,81.4,42712,Other,7.35,Tier 3 - Private/State,VIT Vellore,Other,1,0,6,1,1,3,3,5,2,141,3,13,2,0,Research,No,1264406
83.8,79.5,9204,Other,9.0,Tier 1 - Other IIT/Top NIT,IIT Guwahati,EE,0,0,5,1,2,4,3,3,1,121,7,11,0,2,Renewable Energy,Yes,3123518
84.1,76.9,17052,Other,9.66,Tier 2 - Mid Colleges,DTU Delhi,CSE,1,2,1,2,0,3,3,5,0,166,7,9,1,5,Full Stack,Yes,2907936
79.0,72.5,2163,Other,9.05,Tier 1 - Top IIT,IIT Delhi,CSE,2,3,6,4,1,4,2,2,0,185,6,17,5,2,Cyber Security,No,5776500
